test,Area,Baths,Beds,Broker,City,Day,Month,Price,Price Per Area,State,Street,Year
,2120,3,3,Condor Commercial,Redwood City,14,5,1677950,791.4858491,CA,2105 Madison Ave,2018
,2010,2,2,Coldwell Banker Residential Brokerage - Redwood City - San Carlos,Redwood City,14,5,2198000,1093.532338,CA,863 Arlington Rd,2018
,1330,2,3,Berkshire Hathaway Home Services California Realty,Redwood City,14,5,1549000,1164.661654,CA,229 Topaz St,2018
,2530,3,4,,Redwood City,14,5,2750000,1086.956522,CA,1773 Hull Ave,2018
,2370,3,3,Coldwell Banker Residential Brokerage - Palo Alto Downtown,Redwood City,14,5,1649000,695.7805907,CA,270 Alameda De Las Pulgas,2018
,1280,1,2,Coldwell Banker Residential Brokerage - Los Altos,Menlo Park,14,5,2498000,1951.5625,CA,2141 Mills Ave,2018
,800,1,1,Alain Pinel Realtors,Menlo Park,14,5,799000,998.75,CA,2323 Eastridge Ave APT 513,2018
,2780,3,2,,Menlo Park,14,5,2695000,969.4244604,CA,8 Mansion Ct # 722,2018
,3337,4,4,Coldwell Banker Residential Brokerage - Menlo Park,Menlo Park,14,5,5295000,1586.75457,CA,1797 Oakdell Dr,2018
,1533,2,2,,Menlo Park,14,5,1688000,1101.108937,CA,2147 Avy Ave,2018
,1180,2,3,,Menlo Park,14,5,1800000,1525.423729,CA,1960 Santa Cruz Ave,2018
,3700,5,4,,Menlo Park,14,5,5198000,1404.864865,CA,1868 Valparaiso Ave,2018
,2591,4,4,Coldwell Banker Residential Brokerage - Menlo Park,Menlo Park,14,5,3798000,1465.843304,CA,2098 Manzanita Ave,2018
,1850,2,2,Coldwell Banker Residential Brokerage - Menlo Park,Menlo Park,14,5,1549000,837.2972973,CA,176 Sand Hill Cir,2018
,1840,3,3,Alain Pinel Realtors,Menlo Park,14,5,2495000,1355.978261,CA,236 Oakhurst Pl,2018
,786,1,1,Golden Gate Sotheby's International Realty,Menlo Park,14,5,799000,1016.53944,CA,20 Willow Rd APT 16,2018
,1730,2,4,Kerwin & Associates,Menlo Park,14,5,2730000,1578.034682,CA,950 Cloud Ave,2018
,3717,4,5,RE/MAX Star Properties,Menlo Park,14,5,3899000,1048.964218,CA,530 Palmer Ln,2018
,1810,3,5,"Capital Properties, Ltd.",Menlo Park,14,5,1250000,690.6077348,CA,1320 Madera Ave,2018
,4420,5,3,Coldwell Banker Residential Brokerage - Menlo Park,Menlo Park,14,5,4995000,1130.090498,CA,927 Continental Dr,2018
,1850,2,2,Yaeger Residential Brokerage,Menlo Park,14,5,2999000,1621.081081,CA,1330 University Dr APT 81,2018
,5819,8,7,,Menlo Park,14,5,7995000,1373.947414,CA,2315 Crest Ln,2018
,1280,2,2,Sereno Group,Menlo Park,14,5,2695000,2105.46875,CA,338 Santa Monica Ave,2018
,1540,2,3,,Menlo Park,14,5,2998000,1946.753247,CA,621 Arbor Rd,2018
,1640,2,3,,Menlo Park,14,5,151,0.092073171,CA,667 18th Ave,2018
,5196,7,6,,Menlo Park,14,5,7398000,1423.787529,CA,1210 Bay Laurel Dr,2018
,1340,1,3,,Menlo Park,14,5,1199000,894.7761194,CA,1311 Windermere Ave,2018
,4198,5,5,,Menlo Park,14,5,4995000,1189.852311,CA,1045 College Ave,2018
,3090,3,4,Deleon Realty,Menlo Park,14,5,1988000,643.3656958,CA,424 8th Ave,2018
,660,1,2,Pacific Union International Inc.,Palo Alto,14,5,1498000,2269.69697,CA,742 Homer Ave,2018
,3416,5,5,Golden Gate Sotheby's International Realty,Palo Alto,14,5,6395000,1872.0726,CA,161 Bryant St,2018
,1399,2,3,,Palo Alto,14,5,2498000,1785.561115,CA,756 Paul Ave,2018
,1426,2,4,,Palo Alto,14,5,2498000,1751.753156,CA,3657 South Ct,2018
,2819,5,4,Zane MacGregor,Palo Alto,14,5,5988000,2124.157503,CA,326 Addison Ave,2018
,2638,3,4,Trotter Properties,Los Altos Hills,14,5,2200000,833.9651251,CA,3981 Page Mill Rd,2018
,770,1,2,,Palo Alto,14,5,1549000,2011.688312,CA,166 Cowper St,2018
,812,1,1,,Palo Alto,14,5,998000,1229.064039,CA,410 Sheridan Ave APT 108,2018
,1337,2,3,Sereno Group,Palo Alto,14,5,1988888,1487.575168,CA,325 Fernando Ave,2018
,2195,3,4,,Palo Alto,14,5,3980000,1813.211845,CA,775 Garland Dr,2018
,3623,5,5,,Palo Alto,14,5,3999888,1104.026497,CA,490 Loma Verde Ave,2018
,1445,2,2,Coldwell Banker Residential Brokerage - Menlo Park,Palo Alto,14,5,2298000,1590.311419,CA,675 Kendall Ave,2018
,1034,1,2,Golden Gate Sotheby's International Realty,Palo Alto,14,5,2298000,2222.437137,CA,519 Georgia Ave,2018
,1851,3,3,Valley Vine Realty,Palo Alto,14,5,3190000,1723.392761,CA,455 Oregon Ave,2018
,1421,2,3,Cowperthwaite & Company,Palo Alto,14,5,2649000,1864.180155,CA,3808 Corina Way,2018
,1257,1,3,Pacific Union International Inc.,Palo Alto,14,5,2300000,1829.753381,CA,3519 Laguna Ct,2018
,1362,2,3,Intero Real Estate Services,Palo Alto,14,5,2490000,1828.193833,CA,3124 Genevieve Ct,2018
,1607,2,3,,Palo Alto,14,5,1900000,1182.327318,CA,447 College Ave,2018
,1690,2,3,,Palo Alto,14,5,2500000,1479.289941,CA,4237 Suzanne Dr,2018
,1652,2,3,Coldwell Banker Residential Brokerage - Los Altos,Palo Alto,14,5,4298000,2601.694915,CA,667 Lytton Ave,2018
,6068,7,7,Deleon Realty,Palo Alto,14,5,10888000,1794.330916,CA,1565 Edgewood Dr,2018
,7555,7,6,,Palo Alto,14,5,6995000,925.8769027,CA,931 Laurel Glen Dr,2018
,1064,1,2,,Palo Alto,14,5,2395000,2250.93985,CA,2290 Emerson St,2018
,693,1,1,,Palo Alto,14,5,998000,1440.11544,CA,3901 Middlefield Rd APT H,2018
,1248,2,3,,Palo Alto,14,5,2490000,1995.192308,CA,2240 Saint Francis Dr,2018
,1302,2,3,Sereno Group,Mountain View,14,5,1898000,1457.757296,CA,2515 Mardell Way,2018
,1262,2,2,Advantage Homes,Mountain View,14,5,200000,158.4786054,CA,1075 Space Park Way,2018
,1458,2,3,Alliance Manufactured Homes,Mountain View,14,5,369000,253.0864198,CA,325 Sylvan Ave SPC 83,2018
,978,2,2,,Mountain View,14,5,875000,894.6830266,CA,500 W Middlefield Rd APT 37,2018
,1394,2,2,,Mountain View,14,5,1198000,859.3974175,CA,265 Sierra Vista Ave,2018
,930,1,3,HomeCoin.com,Mountain View,14,5,1840000,1978.494624,CA,201 Granada Dr,2018
,1526,2,3,Sereno Group,Mountain View,14,5,1325000,868.2830931,CA,198 Central Ave,2018
,1203,1,3,,Mountain View,14,5,2095000,1741.479634,CA,1377 Todd St,2018
,1049,2,2,Pams Homes,Mountain View,14,5,299888,285.8798856,CA,191 E El Camino Real SPC 196,2018
,1290,2,3,"Reza Khan, Broker",Mountain View,14,5,3700000,2868.217054,CA,1107 High School Way,2018
,1456,2,3,Alliance Manufactured Homes,Mountain View,14,5,385000,264.4230769,CA,433 Sylvan Ave SPC 17,2018
,1213,2,2,,Mountain View,14,5,998000,822.7535037,CA,2255 Showers Dr APT 382,2018
,1000,2,2,Realty One Group - World Properties,Mountain View,14,5,928000,928,CA,2047 Montecito Ave APT 22,2018
,2200,3,4,Coldwell Banker Residential Brokerage - Palo Alto Downtown,Mountain View,14,5,2999000,1363.181818,CA,372 Farley St,2018
,2200,3,4,Coldwell Banker Residential Brokerage - Palo Alto Downtown,Mountain View,14,5,2999000,1363.181818,CA,394 Farley St,2018
,998,2,2,Altas Realty,Mountain View,14,5,998000,1000,CA,905 W Middlefield Rd APT 985,2018
,1041,1,2,Realty One Group Infinity,Mountain View,14,5,1900000,1825.168108,CA,624 Church St,2018
,1539,2,3,Deleon Realty,Mountain View,14,5,1998000,1298.245614,CA,1013 Karen Way,2018
,1362,2,2,,Mountain View,14,5,1798000,1320.117474,CA,1609 Villa St,2018
,1916,4,4,Deleon Realty,Mountain View,14,5,1998000,1042.797495,CA,136 Avellino Way,2018
,662,1,1,Better Homes and Gardens Real Estate J.F. Finnegan Realtors,Mountain View,14,5,598000,903.3232628,CA,505 Cypress Point Dr UNIT 94,2018
,1770,4,4,,Mountain View,14,5,1759000,993.7853107,CA,111 Savannah Loop,2018
,3395,5,5,O Homez Inc,Los Altos,14,5,3799800,1119.234168,CA,300 Cuesta Dr,2018
,2564,3,4,,Los Altos,14,5,3098000,1208.268331,CA,1453 Ranchita Dr,2018
,2218,3,4,Sereno Group,Los Altos,14,5,2995000,1350.3156,CA,1816 Newcastle Dr,2018
,5600,7,5,,Los Altos,14,5,5880000,1050,CA,168 Loucks Ave,2018
,4300,5,5,Sereno Group,Los Altos,14,5,6495000,1510.465116,CA,290 Quinnhill Rd,2018
,1173,2,3,,Los Altos,14,5,1998000,1703.324808,CA,11691 Par Ave,2018
,2222,3,4,,Los Altos,14,5,2700000,1215.121512,CA,960 Parma Way,2018
,4283,4,5,,Los Altos,14,5,3998000,933.4578566,CA,737 Thorsen Ct,2018
,2222,3,4,Alain Pinel Realtors,Los Altos,14,5,2700000,1215.121512,CA,Parma Way,2018
,1840,2,2,,Los Altos,14,5,2099000,1140.76087,CA,26 Deep Well Ln,2018
,1953,3,4,Sterling Associates,Los Altos,14,5,2975000,1523.297491,CA,1586 Ben Roe Dr,2018
,2815,3,4,,Los Altos,14,5,3500000,1243.339254,CA,316 Blue Oak Ln,2018
,3148,4,4,,Los Altos,14,5,6998000,2222.998729,CA,762 Edgewood Ln,2018
,3580,5,4,,Los Altos,14,5,4988000,1393.296089,CA,980 Golden Way,2018
,1468,2,3,CENTURY 21 Hilltop,Los Altos,14,5,2500000,1702.997275,CA,22150 Cloverly Ct,2018
,2195,3,4,,Los Altos,14,5,2998000,1365.831435,CA,520 Benvenue Ave,2018
,4450,6,5,Realty World - Alliance,Los Altos,14,5,4998888,1123.345618,CA,780 S El Monte Ave,2018
,3014,4,5,,Los Altos,14,5,3495000,1159.588587,CA,1468 Frontero Ave,2018
,1266,2,3,,Los Altos,14,5,2770000,2187.993681,CA,144 Marvin Ave,2018
,3346,5,4,,Los Altos,14,5,4200000,1255.230126,CA,1474 Topar Ave,2018
,5150,8,6,,Los Altos,14,5,7100000,1378.640777,CA,1530 Arbor Ave,2018
,3123,4,5,Pertria,Los Altos,14,5,3695000,1183.157221,CA,1514 Kathy Ln,2018
,3378,5,3,Sereno Group,Los Altos,14,5,3695000,1093.84251,CA,10999 Terry Way,2018
,2681,3,4,Golden Gate Sotheby's International Realty,Los Altos,14,5,3198000,1192.838493,CA,11701 Putter Way,2018
,3985,4,5,Sereno Group,Los Altos,14,5,6800000,1706.398996,CA,830 Arroyo Rd,2018
,1576,4,2,Midtown Realty,Redwood City,14,5,1350000,856.5989848,CA,755 Brewster Ave,2018
,2162,2,4,Coldwell Banker Residential Brokerage - Los Gatos,Redwood City,14,5,1479000,684.0888067,CA,855 Adams St,2018
,7413,5,5,,Palo Alto,14,5,13998000,1888.30433,CA,4174 Oak Hill Ave,2018
,4448,4,5,Deleon Realty,Palo Alto,14,5,7988000,1795.863309,CA,1818 Bryant St,2018
,7743,6,5,,Palo Alto,14,5,10988000,1419.088209,CA,1535 Edgewood Dr,2018
,3487,4,5,Golden Gate Sotheby's International Realty,Palo Alto,14,5,4500000,1290.5076,CA,152 Melville Ave,2018
,2456,3,5,,Palo Alto,14,5,3298000,1342.833876,CA,1070 Mcgregor Way,2018
,5292,5,5,Pacific Union International Inc.,Palo Alto,14,5,5698000,1076.719577,CA,3513 Waverley St,2018
,4430,4,6,,Palo Alto,14,5,7250000,1636.568849,CA,333 Santa Rita Ave,2018
,1499,2,3,Authentic Real Estate,Palo Alto,14,5,1999000,1333.555704,CA,3387 Kenneth Dr,2018
,3503,7,5,DPL Real Estate,Palo Alto,14,5,4998000,1426.777048,CA,931 Clara Dr,2018
,3750,3,4,BHHS California Properties,Palo Alto,14,5,1800000,480,CA,4145 Byron St,2018
,1772,4,4,Coldwell Banker Residential Brokerage - Los Gatos,Mountain View,14,5,1649000,930.5869074,CA,230 Bryant St APT 8,2018
,1274,2,2,Coldwell Banker Residential Brokerage - San Jose-Willow Glen,Mountain View,14,5,1198000,940.3453689,CA,233 Horizon Ave,2018
,600,1,1,,Mountain View,14,5,598888,998.1466667,CA,650 Alamo Ct APT 18,2018
,1611,3,3,Maxreal,Mountain View,14,5,1899000,1178.77095,CA,266 Walker Dr,2018
,1555,2,3,Valley Vine Realty,Mountain View,14,5,2098000,1349.196141,CA,1655 Villa St,2018
,995,1,2,,Mountain View,14,5,895000,899.4974874,CA,400 Ortega Ave APT 106,2018
,1100,2,3,Alliance Manufactured Homes,Mountain View,14,5,269000,244.5454545,CA,433 Sylvan Ave SPC 115,2018
,1919,3,3,Golden Gate Sotheby's International Realty,Mountain View,14,5,2449000,1276.185513,CA,1111 Blackfield Way,2018
,1244,2,3,,Mountain View,14,5,279000,224.2765273,CA,191 E El Camino Real SPC 124,2018
,1150,2,2,ASJ Real Estate Investments,Mountain View,14,5,1249000,1086.086957,CA,743 Cottage Ct,2018
,609,1,1,,Los Altos,14,5,6998000,11490.9688,CA,760 Edgewood Ln,2018
,1631,3,3,,Los Altos,14,5,2598000,1592.887799,CA,734 S El Monte Ave,2018
,3156,4,4,,Los Altos,14,5,3650000,1156.52725,CA,23271 Mora Heights Way,2018
,3132,3,3,CENTURY 21 Lad Realty,Los Altos,14,5,3800000,1213.282248,CA,1551 Julie Ln,2018
